ttk_id,source_extraction_id,sandbox_version,weapon_hash,weapon_or_archetype,mode,resilience_tier,target_hp,weapon_parameter,wp_max_bonus_pct,wp_bonus_pct,crit_damage,body_damage,effective_crit_damage,effective_body_damage,rpm,burst_count,crit_required,body_required,optimal_ttk_ms,body_ttk_ms,body_forgiveness_count,body_forgiveness_pct,formula_confidence,db_apply,conditions,notes
TTK-2026-01-27-001,DMG-2026-01-27-001,update-9.5.5,,All-Star perk,PvP,,230,100,0.05,0,,,,,,,,,,,,,Verified,Ready,Conditional 15 percent PvP weapon damage bonus while All-Star is active.,
TTK-2025-12-02-001,DMG-2025-12-02-001,update-9.5.0,,New Gear weapons,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs In-Game Test,No,New Gear weapon damage bonus is 5 percent but PvP scope needs confirmation.,
TTK-2025-12-02-002,DMG-2025-12-02-002,update-9.5.0,,Rapid-Fire Pulse Rifle,PvP,,230,100,0.05,0,27.9,15.5,,,540,3,,,,,,,Needs Calculation,No,Burst cadence required before final TTK.,
TTK-2025-12-02-003,DMG-2025-12-02-003,update-9.5.0,,Lightweight Shotgun,PvP,,230,100,0.05,0,,23,,,80,1,,,,,,,Needs In-Game Test,No,Per-pellet damage with pellet count and PvP scaling still required.,
TTK-2025-12-02-004,DMG-2025-12-02-004,update-9.5.0,,Aggressive Shotgun,PvP,,230,100,0.05,0,,28,,,55,1,,,,,,,Needs In-Game Test,No,Per-pellet damage with pellet count and PvP scaling still required.,
TTK-2025-12-02-005,DMG-2025-12-02-005,update-9.5.0,,Pinpoint Slug Shotgun,PvP,,230,100,0.05,0,,,,,,,,,,,,,Verified,Ready,Damage against players reduced by 6 percent.,
TTK-2025-12-02-006,DMG-2025-12-02-006,update-9.5.0,3413860062,The Chaperone,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Source Check,Ready,Uses Rapid-Fire Slug frame damage and rate of fire profile.,
TTK-2025-07-29-001,DMG-2025-07-29-001,update-9.0.0.4,,Weapons stat,PvP,,230,200,0.05,0.05,,,,,,,,,,,,,Verified,Ready,WP maximum PvP weapon damage bonus is 5 percent at WP 200.,
TTK-2025-07-15-001,DMG-2025-07-15-001,update-9.0.0.1,,Weapon Tiering,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Source Check,No,Historical tier damage bonus ranged from 2 percent to 10 percent and may be superseded by 9.5.0.,
TTK-2025-07-15-002,DMG-2025-07-15-002,update-9.0.0.1,1441805468,The Navigator,PvP,,230,100,0.05,0,,,,,1000,1,,,,,,,Verified,Ready,Woven Mail owner bonus is 5 percent weapon damage in PvP.,
TTK-2025-07-15-003,DMG-2025-07-15-003,update-9.0.0.1,347366834,Ace of Spades,PvP,,230,100,0.05,0,,,,,140,1,,,,,,,Verified,Ready,Memento Mori precision kill explosion damage against players increased by 15 percent.,
TTK-2025-07-15-004,DMG-2025-07-15-004,update-9.0.0.1,,Heavy Burst Shotguns,PvP,,230,100,0.05,0,,,,,,,,,,,,,Needs Source Check,No,Exact earlier intended damage buff still needs source extraction.,
TTK-2024-10-08-001,DMG-2024-10-08-003,update-8.1.0,,Rapid-Fire Sidearm,PvP,,230,100,0.05,0,40,,,,,1,,,,,,,Needs Calculation,No,Body damage and exact frame RPM still required.,
TTK-2024-10-08-002,DMG-2024-10-08-004,update-8.1.0,,Adaptive Sidearm,PvP,,230,100,0.05,0,57.6,,,,,1,,,,,,,Needs Calculation,No,Body damage and exact frame RPM still required.,
TTK-2024-10-08-003,DMG-2024-10-08-005,update-8.1.0,,Precision Sidearm,PvP,,230,100,0.05,0,64,,,,,1,,,,,,,Needs Calculation,No,Body damage and exact frame RPM still required.,
TTK-2024-10-08-004,DMG-2024-10-08-006,update-8.1.0,,Adaptive Burst Sidearm,PvP,,230,100,0.05,0,37,,,,,2,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-005,DMG-2024-10-08-007,update-8.1.0,,Heavy Burst Sidearm,PvP,,230,100,0.05,0,48,,,,,2,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
TTK-2024-10-08-006,DMG-2024-10-08-008,update-8.1.0,,Lightweight Sidearm,PvP,,230,100,0.05,0,49.6,,,,,1,,,,,,,Needs Calculation,No,Body damage and exact frame RPM still required.,
TTK-2024-10-08-007,DMG-2024-10-08-009,update-8.1.0,,Lightweight Submachine Gun,PvP,,230,100,0.05,0,,10.6,,,900,1,,,,,,,Needs Calculation,No,Crit damage still required.,
TTK-2024-10-08-008,DMG-2024-10-08-010,update-8.1.0,,Adaptive Submachine Gun,PvP,,230,100,0.05,0,,11.5,,,900,1,,,,,,,Needs Calculation,No,Crit damage still required.,
TTK-2024-10-08-009,DMG-2024-10-08-011,update-8.1.0,,Aggressive Submachine Gun,PvP,,230,100,0.05,0,23.8,,,,750,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-010,DMG-2024-10-08-012,update-8.1.0,,Precision Submachine Gun,PvP,,230,100,0.05,0,26.7,16.7,,,600,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-011,DMG-2024-10-08-013,update-8.1.0,,Rapid-Fire Auto Rifle,PvP,,230,100,0.05,0,22.95,13.5,,,720,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-012,DMG-2024-10-08-014,update-8.1.0,,Adaptive Auto Rifle,PvP,,230,100,0.05,0,26.25,,,,600,1,,,,,,,Needs Calculation,No,Body damage still required.,
TTK-2024-10-08-013,DMG-2024-10-08-015,update-8.1.0,,Precision Auto Rifle,PvP,,230,100,0.05,0,33.95,19.4,,,450,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-014,DMG-2024-10-08-016,update-8.1.0,,High-Impact Auto Rifle,PvP,,230,100,0.05,0,41.4,23,,,360,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-015,DMG-2024-10-08-017,update-8.1.0,,Precision Hand Cannon,PvP,,230,100,0.05,0,70.22,45.3,,,180,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-016,DMG-2024-10-08-018,update-8.1.0,,Adaptive Hand Cannon,PvP,,230,100,0.05,0,80.1,44.5,,,140,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-017,DMG-2024-10-08-019,update-8.1.0,,Heavy Burst Hand Cannon,PvP,,230,100,0.05,0,52.8,24,,,257,2,,,,,,,Needs Calculation,No,Burst cadence required before final TTK.,
TTK-2024-10-08-018,DMG-2024-10-08-020,update-8.1.0,,Aggressive Hand Cannon,PvP,,230,100,0.05,0,88.05,47.6,,,120,1,,,,,,,Needs Calculation,No,Formula row pending weapon mapping.,
TTK-2024-10-08-019,DMG-2024-10-08-021,update-8.1.0,,Rapid-Fire Pulse Rifle,PvP,,230,100,0.05,0,27.55,,,,540,3,,,,,,,Needs Calculation,No,Body damage and burst cadence still required.,
